engagement_id,profile_id,artist_id,streams,likes,shares,comments,time_spent_on_artist,date
1,2343,6,8,32,6,1,59.67,2024-10-08
2,1895,25,73,19,3,6,41.83,2024-03-24
3,1476,37,35,42,14,1,161.33,2024-02-16
4,1866,49,14,16,3,5,18.23,2024-08-21
5,974,27,83,17,10,6,169.55,2024-06-06
6,2567,18,9,48,15,7,184.8,2024-09-02
7,2642,16,27,12,2,8,101.44,2024-10-04
8,2790,28,98,26,7,3,56.29,2024-09-24
9,4795,3,2,33,19,8,196.24,2024-09-26
10,892,3,11,17,5,6,168.47,2024-07-25
11,3441,25,43,36,19,0,44.63,2024-09-09
12,3797,49,86,34,1,5,39.06,2024-08-13
13,678,48,34,2,12,8,99.17,2024-05-21
14,766,7,93,1,15,0,37.9,2024-07-19
15,3355,20,95,9,6,7,40.05,2024-10-09
16,1299,34,77,44,9,7,163.65,2024-09-24
17,4579,18,58,45,14,0,109.92,2024-01-16
18,320,39,15,38,8,1,57.17,2024-05-29
19,170,48,28,3,4,6,168.78,2024-08-04
20,4960,35,25,32,0,3,68.37,2024-07-02
21,2843,48,6,38,14,3,63.23,2024-09-30
22,1192,12,32,43,1,5,64.03,2024-08-20
23,3501,34,84,47,4,9,45.53,2024-10-27
24,1264,27,4,16,2,6,132.38,2024-06-09
25,3895,31,42,49,0,1,199.39,2024-09-04
26,4028,40,7,19,11,7,133.77,2024-11-03
27,4132,42,27,0,19,1,189.84,2024-10-31
28,20,20,26,9,7,7,90.66,2024-08-28
29,3954,47,64,29,18,7,45.83,2024-03-11
30,4681,20,19,6,10,6,112.21,2024-04-20
31,3508,16,96,41,6,3,193.57,2024-06-04
32,2711,46,91,9,7,7,104.23,2024-05-01
33,2102,39,9,33,1,0,71.75,2024-01-19
34,3538,48,75,6,8,7,102.59,2024-03-18
35,375,19,35,47,12,8,86.21,2024-08-09
36,1255,10,80,47,17,8,163.11,2024-05-25
37,98,43,8,34,1,1,51.83,2024-03-08
38,3096,1,10,17,2,4,71.46,2024-04-28
39,2553,42,77,38,5,0,17.22,2024-10-21
40,1957,10,75,24,11,2,57.67,2024-10-10
41,2650,47,65,49,13,5,147.84,2024-06-17
42,594,8,36,46,10,7,14.97,2024-04-07
43,429,36,61,4,14,7,83.71,2024-09-20
44,112,28,20,35,17,5,116.3,2024-05-21
45,3887,48,37,28,18,0,17.02,2024-11-03
46,2898,4,32,17,13,5,87.77,2024-06-24
47,1793,49,7,16,13,3,63.42,2024-08-13
48,4308,13,81,9,3,0,13.17,2024-04-15
49,156,3,70,26,6,5,64.21,2024-02-19
50,517,46,52,29,18,8,180.66,2024-05-02
51,1717,49,17,49,2,4,65.74,2024-02-22
52,1583,37,51,34,14,2,120.91,2024-04-27
53,178,28,82,19,5,0,142.78,2024-08-11
54,3141,49,77,19,10,1,183.16,2024-07-17
55,831,22,2,32,4,4,146.79,2024-08-13
56,4087,14,76,13,10,7,102.72,2024-01-17
57,3699,22,76,37,19,3,189.16,2024-08-03
58,4413,3,26,19,17,7,146.1,2024-01-26
59,114,11,27,40,3,6,85.81,2024-04-20
60,4507,3,38,30,14,1,75.6,2024-03-16
61,538,12,90,48,5,8,174.92,2024-10-04
62,1134,24,30,44,6,5,70.29,2024-08-19
63,154,12,67,5,11,9,11.95,2024-09-08
64,2965,39,19,7,18,4,17.69,2024-05-05
65,244,27,4,44,15,0,79.85,2024-05-30
66,305,45,71,3,12,2,56.83,2024-05-09
67,1011,4,90,42,13,7,126.51,2024-07-18
68,4584,32,15,34,10,9,137.11,2024-06-20
69,3250,42,32,19,1,5,111.08,2024-01-09
70,3458,4,22,22,3,7,25.81,2024-07-28
71,2068,45,78,10,6,6,81.21,2024-02-14
72,4547,2,82,23,1,8,38.42,2024-08-12
73,3623,38,94,40,14,6,74.98,2024-10-20
74,2669,33,79,28,2,0,60.04,2024-05-19
75,1843,5,99,11,12,8,84.55,2024-05-09
