profile_id,age_group,gender,location,preferred_genre,average_listening_hours,device_type,music_service
1,18-24,Non-binary,France,Pop,25.45,Desktop,Amazon Music
2,45-54,Other,UK,Hip-Hop,5.09,Mobile,Spotify
3,35-44,Male,Japan,Hip-Hop,27.21,Tablet,Apple Music
4,25-34,Other,Brazil,Rock,24.4,Tablet,Spotify
5,55+,Non-binary,Germany,EDM,23.69,Tablet,Apple Music
6,18-24,Female,Germany,Hip-Hop,6.16,Desktop,Spotify
7,18-24,Non-binary,USA,Pop,23.3,Mobile,YouTube Music
8,45-54,Non-binary,South Korea,Pop,21.97,Mobile,Apple Music
9,35-44,Non-binary,Australia,EDM,23.49,Tablet,YouTube Music
10,55+,Male,Canada,Classical,25.09,Tablet,YouTube Music
11,35-44,Other,UK,Classical,10.98,Tablet,Spotify
12,55+,Female,Canada,Rock,8.28,Desktop,YouTube Music
13,18-24,Male,France,Rock,8.93,Desktop,Apple Music
14,55+,Female,Brazil,Classical,9.06,Tablet,Spotify
15,35-44,Male,Germany,Metal,23.12,Desktop,Amazon Music
16,35-44,Male,UK,Metal,25.05,Mobile,YouTube Music
17,45-54,Non-binary,Germany,EDM,12.16,Tablet,Apple Music
18,45-54,Non-binary,USA,Pop,5.54,Mobile,YouTube Music
19,55+,Non-binary,Brazil,Jazz,6.91,Mobile,Spotify
20,18-24,Non-binary,USA,Classical,6.96,Mobile,Apple Music
21,18-24,Female,India,Pop,9.45,Tablet,Amazon Music
22,25-34,Female,South Korea,Jazz,24.31,Desktop,Spotify
23,18-24,Other,UK,Classical,26.71,Desktop,Amazon Music
24,55+,Male,UK,Classical,24.28,Desktop,Spotify
25,45-54,Non-binary,India,Jazz,17.81,Tablet,YouTube Music
26,35-44,Other,Japan,Pop,21.62,Desktop,Amazon Music
27,25-34,Non-binary,South Korea,Pop,12.2,Mobile,YouTube Music
28,18-24,Female,India,Metal,19.63,Tablet,Spotify
29,55+,Male,Germany,Rock,29.97,Desktop,YouTube Music
30,55+,Female,Japan,Pop,14.26,Desktop,Apple Music
31,55+,Non-binary,India,Classical,29.34,Mobile,Spotify
32,18-24,Other,UK,Country,29.1,Mobile,Spotify
33,18-24,Female,South Korea,Classical,23.19,Tablet,Spotify
34,25-34,Non-binary,France,Jazz,23.0,Mobile,YouTube Music
35,18-24,Other,Japan,Rock,24.4,Mobile,Amazon Music
36,18-24,Non-binary,Japan,Classical,14.65,Tablet,Amazon Music
37,55+,Male,Brazil,Hip-Hop,11.53,Mobile,Apple Music
38,18-24,Male,Japan,Metal,9.7,Desktop,Amazon Music
39,35-44,Non-binary,Japan,Jazz,23.73,Mobile,YouTube Music
40,55+,Non-binary,Germany,Country,29.15,Tablet,Amazon Music
41,35-44,Other,India,EDM,10.13,Tablet,Amazon Music
42,18-24,Male,India,Jazz,21.91,Tablet,Spotify
43,35-44,Other,India,Hip-Hop,15.67,Tablet,YouTube Music
44,55+,Female,Canada,Rock,23.44,Tablet,Spotify
45,18-24,Female,UK,Metal,24.44,Tablet,Spotify
46,55+,Other,Australia,Country,13.07,Mobile,Amazon Music
47,35-44,Other,USA,Country,8.23,Mobile,Amazon Music
48,25-34,Female,Australia,Rock,24.02,Desktop,Apple Music
49,45-54,Other,France,EDM,19.56,Tablet,Amazon Music
50,45-54,Other,India,Pop,29.43,Mobile,Apple Music
51,35-44,Non-binary,Canada,EDM,22.13,Desktop,YouTube Music
52,55+,Female,France,Pop,17.56,Desktop,Amazon Music
53,35-44,Female,South Korea,Metal,6.33,Desktop,YouTube Music
54,25-34,Female,France,EDM,28.16,Mobile,Amazon Music
55,55+,Female,France,Country,26.58,Tablet,YouTube Music
56,45-54,Other,France,Metal,29.63,Tablet,Apple Music
57,45-54,Male,Brazil,Rock,13.07,Desktop,Spotify
58,25-34,Other,Australia,Jazz,20.61,Desktop,Apple Music
59,45-54,Female,UK,Rock,5.23,Tablet,YouTube Music
60,45-54,Other,Canada,Classical,29.0,Desktop,Amazon Music
61,45-54,Female,South Korea,Classical,7.65,Tablet,Apple Music
62,18-24,Other,Japan,Classical,5.42,Mobile,YouTube Music
63,35-44,Male,Australia,Country,7.71,Mobile,Apple Music
64,25-34,Non-binary,USA,Pop,15.93,Desktop,Amazon Music
65,25-34,Female,Australia,Country,18.11,Tablet,Apple Music
66,18-24,Non-binary,India,Jazz,20.34,Desktop,YouTube Music
67,25-34,Non-binary,Brazil,Jazz,24.47,Mobile,YouTube Music
68,18-24,Female,France,Metal,16.72,Desktop,Amazon Music
69,45-54,Non-binary,France,Rock,7.92,Desktop,Spotify
70,18-24,Non-binary,Brazil,Hip-Hop,8.16,Desktop,Spotify
71,25-34,Other,France,Metal,16.05,Mobile,Amazon Music
72,35-44,Male,France,Country,19.59,Desktop,Amazon Music
73,45-54,Other,France,EDM,20.44,Desktop,YouTube Music
74,35-44,Other,Australia,EDM,21.46,Desktop,YouTube Music
75,25-34,Other,UK,Jazz,9.39,Desktop,YouTube Music
76,25-34,Female,USA,Classical,20.93,Tablet,Apple Music
77,25-34,Non-binary,India,Pop,22.34,Desktop,Amazon Music
78,35-44,Female,USA,Jazz,27.86,Tablet,YouTube Music
79,55+,Male,France,Rock,8.93,Mobile,YouTube Music
80,35-44,Female,Canada,Jazz,25.23,Tablet,Amazon Music
81,18-24,Female,South Korea,Country,16.94,Desktop,Amazon Music
82,25-34,Male,Australia,Country,15.89,Mobile,Amazon Music
83,18-24,Other,USA,Country,19.81,Tablet,Amazon Music
84,35-44,Female,Germany,Hip-Hop,18.21,Mobile,Spotify
85,55+,Other,Germany,Metal,16.44,Desktop,Apple Music
86,35-44,Other,USA,Country,13.01,Desktop,Spotify
87,25-34,Female,Australia,EDM,16.28,Tablet,YouTube Music
88,18-24,Non-binary,Australia,Hip-Hop,18.18,Tablet,Spotify
89,18-24,Other,UK,Hip-Hop,9.75,Desktop,Amazon Music
90,45-54,Non-binary,South Korea,Hip-Hop,20.86,Mobile,Amazon Music
91,35-44,Other,Australia,Jazz,21.61,Mobile,YouTube Music
92,35-44,Non-binary,Australia,Metal,11.42,Desktop,Amazon Music
93,45-54,Other,UK,EDM,27.67,Desktop,Spotify
94,55+,Male,India,Country,19.05,Tablet,Spotify
95,45-54,Male,Canada,Metal,8.96,Mobile,YouTube Music
96,45-54,Female,Brazil,Metal,9.72,Desktop,Apple Music
97,55+,Non-binary,South Korea,Jazz,14.92,Mobile,Apple Music
98,45-54,Male,Germany,EDM,22.5,Desktop,Amazon Music
99,55+,Female,South Korea,Pop,29.04,Desktop,YouTube Music
100,55+,Male,Canada,Pop,14.38,Mobile,Spotify
101,18-24,Non-binary,USA,Jazz,17.62,Tablet,Amazon Music
102,25-34,Male,Canada,Metal,6.49,Mobile,Amazon Music
103,25-34,Non-binary,Canada,Rock,29.35,Mobile,YouTube Music
104,55+,Other,Germany,Country,24.0,Desktop,Amazon Music
105,18-24,Other,Australia,Classical,25.25,Tablet,Spotify
106,18-24,Other,Japan,Country,27.0,Desktop,Apple Music
107,55+,Non-binary,Australia,Country,26.5,Tablet,Amazon Music
108,18-24,Female,South Korea,Jazz,12.62,Mobile,YouTube Music
109,45-54,Female,Japan,Country,23.25,Tablet,Spotify
110,25-34,Male,Brazil,EDM,13.35,Tablet,Spotify
111,55+,Other,Germany,Country,10.68,Tablet,Apple Music
112,25-34,Non-binary,Brazil,Jazz,19.91,Mobile,Amazon Music
113,55+,Other,UK,Pop,23.45,Desktop,YouTube Music
114,45-54,Female,South Korea,Pop,9.85,Mobile,Spotify
115,35-44,Male,France,Hip-Hop,15.27,Mobile,Spotify
116,25-34,Non-binary,Germany,EDM,5.08,Mobile,Apple Music
117,55+,Non-binary,Germany,Classical,18.01,Tablet,Spotify
118,45-54,Other,Japan,Metal,9.26,Desktop,Apple Music
119,35-44,Non-binary,UK,Classical,22.62,Desktop,YouTube Music
120,18-24,Male,Canada,Jazz,29.25,Desktop,YouTube Music
121,35-44,Non-binary,South Korea,Jazz,18.24,Mobile,Amazon Music
122,18-24,Other,Japan,EDM,9.09,Desktop,Spotify
123,18-24,Non-binary,Germany,Pop,19.15,Mobile,YouTube Music
124,45-54,Female,Germany,Hip-Hop,16.22,Desktop,YouTube Music
125,35-44,Other,USA,Pop,8.39,Tablet,Apple Music
126,25-34,Non-binary,Brazil,Hip-Hop,22.38,Desktop,Spotify
127,55+,Female,UK,Rock,10.97,Desktop,YouTube Music
128,55+,Other,France,Rock,28.01,Tablet,Apple Music
129,25-34,Non-binary,Australia,EDM,7.28,Mobile,Spotify
130,25-34,Other,South Korea,EDM,21.42,Mobile,Amazon Music
131,18-24,Non-binary,Brazil,Pop,23.4,Tablet,Spotify
132,18-24,Female,Canada,Hip-Hop,16.12,Mobile,Amazon Music
133,25-34,Female,Canada,Country,6.71,Desktop,Spotify
134,45-54,Other,UK,Pop,7.57,Mobile,Apple Music
135,25-34,Female,UK,Pop,28.29,Tablet,Amazon Music
136,25-34,Male,India,Metal,17.81,Desktop,Spotify
137,45-54,Female,Canada,Pop,27.94,Mobile,Amazon Music
138,45-54,Female,USA,Classical,29.01,Mobile,YouTube Music
139,25-34,Female,UK,Rock,27.98,Mobile,YouTube Music
140,25-34,Non-binary,Germany,EDM,20.02,Desktop,Spotify
141,25-34,Other,UK,EDM,18.34,Mobile,YouTube Music
142,45-54,Female,Brazil,Country,27.56,Tablet,YouTube Music
143,35-44,Female,South Korea,Hip-Hop,27.31,Desktop,Spotify
144,18-24,Other,India,Jazz,14.92,Mobile,Amazon Music
145,18-24,Male,Australia,Hip-Hop,21.14,Desktop,Spotify
146,45-54,Female,USA,Jazz,7.9,Tablet,Spotify
147,55+,Other,Brazil,Jazz,11.01,Mobile,Amazon Music
148,55+,Male,Germany,Country,29.12,Mobile,Apple Music
149,35-44,Non-binary,Brazil,Pop,14.25,Desktop,YouTube Music
150,25-34,Female,Japan,EDM,15.12,Tablet,Spotify
151,35-44,Female,India,Pop,15.49,Mobile,Amazon Music
152,45-54,Other,Japan,EDM,26.03,Desktop,Apple Music
153,25-34,Female,UK,Jazz,29.65,Tablet,YouTube Music
154,18-24,Female,Japan,Country,9.49,Desktop,Apple Music
155,18-24,Non-binary,South Korea,Rock,14.36,Tablet,YouTube Music
156,45-54,Male,Japan,Country,28.41,Desktop,Spotify
157,18-24,Other,UK,Country,10.97,Mobile,Amazon Music
158,35-44,Other,India,Jazz,10.56,Mobile,Amazon Music
159,25-34,Male,Germany,Country,20.7,Tablet,YouTube Music
160,18-24,Female,Canada,Pop,9.04,Tablet,Spotify
161,45-54,Male,Germany,Metal,6.39,Tablet,Spotify
162,55+,Non-binary,Germany,Country,6.02,Tablet,Apple Music
163,35-44,Female,UK,Country,6.67,Tablet,YouTube Music
164,55+,Female,Japan,Metal,21.75,Desktop,Spotify
165,45-54,Male,Germany,Jazz,20.85,Desktop,Amazon Music
166,55+,Non-binary,South Korea,Hip-Hop,14.06,Desktop,Spotify
167,45-54,Female,Japan,EDM,27.24,Mobile,Apple Music
168,55+,Other,UK,Hip-Hop,13.86,Mobile,YouTube Music
169,35-44,Other,India,Rock,14.23,Tablet,Amazon Music
170,55+,Female,USA,Metal,12.08,Desktop,YouTube Music
171,35-44,Female,USA,EDM,15.81,Tablet,Spotify
172,18-24,Non-binary,India,Metal,8.24,Desktop,Apple Music
173,18-24,Male,Australia,Metal,8.08,Desktop,YouTube Music
174,25-34,Other,USA,Hip-Hop,17.98,Desktop,Apple Music
175,35-44,Other,USA,Metal,25.39,Desktop,Apple Music
